GATE Rank,GATE Normalized Marks,GATE Score,GATE Branch,GATE Year,Category,M.Tech course work offers if received in this round - Please mention course name too,Decision for this round,Offer selected to accept or retain,Research offers if received in this round - Please mention specialization too,Decisions for research offers,"Have you received offer from any other college? IIITs, etc.? Please mention all of them",Decisions for all colleges in the question above,Other courses that you have applied for apart from all above,GATE Paper Set
275,70.42,823,CSE,2026,GEN,IISc Mtech CSE,Accept and Freeze,IISc Banglore MTech CSA,,,,,"IITMADRAS Mtech CSE(TA),DSAI,IIT Bombay Mtech CSE, IIT ,IISc AI,CDS ",Set 1
285,70.09,819,CSE,2026,GEN,,NA,,,,,,,Set 2
285,70.09,819,CSE,2026,GEN,"IiSc mtech CSE, IIT BHU Mtech AI",Accept and Freeze,IISc mtech csa,,,,,,Set 2
296,,815,CSE,2026,GEN,IIT Patna CSE,Retain and Wait,IIT Patna CSE,,,,,,
311,,811,CSE,2026,GEN,NA,NA,,,,,,,
331,,807,CSE,2026,GEN,No offer,NA,,,,,,,
331,,807,CSE,2026,GEN,IIT BHU - AI,Retain and Wait,NA,NA,NA,NA,NA,"IISC - CSE, AI
IIT Bombay - CSE
IIT Delhi - CSE, AI, CS
IIT Kanpur - CSE
IIT Kharagpur - CSE
IIT Guwahati - CSE, DS, AI
IIT Roorkee - CSE, AI, DS
IIT Hyderabad - CSE, AI, NS",
342,,804,CSE,2026,GEN,IIT Gandhinagar MTech CSE,Retain and Wait,IIT Gandhinagar MTech CSE,,,,,,
342,,804,CSE,2026,GEN,IIT ISM DHANBAD- MTECH COMPUTER SCIENCE AND ENGINEERING,Retain and Wait,IIT ISM DHANBAD- MTECH COMPUTER SCIENCE AND ENGINEERING,NA,NA,NA,NA,"IIT HYDERABAD , IIT GUWAHATI, IIT KGP, IIT ROORKEE , IIT DELHI, IIT KANPUR",
342,68.79,804,CSE,2026,GEN,IIT BHU - MTech AI,Retain and Wait,IIT BHU - MTech AI,NA,NA,NA,NA,,Set 1
351,,803,CSE,2026,GEN,None,NA,N/A,,,,,"Iit B, M, D(ai), k, H, R(ai ds), kgp(ai), G(ai ds)(cse branch for all)",
351,,803,CSE,2026,GEN,IIT Patna CSE,Retain and Wait,IIT Patna,,,ISI Kolkata MTech CS,,,
366,,799,CSE,2026,GEN,"Iit bhu cse-iot
Iit patna cse
Iit (ism) Dhanbad cse",Retain and Wait,Iit bhu cse-iot,,,,,,
381,,796,CSE,2026,GEN,Nil,NA,No,,,,,,
381,,796,CSE,2026,GEN,IISC Bangalore CDS,Retain and Wait,IISC Bangalore CDS - retain,,,,,,
444,,781,CSE,2026,GEN,NA,NA,NA,NA,NA,ISI Kolkata,,Top 7 IITs and IISc,
452,66.64,778,CSE,2026,GEN,"1.IIT JODHPUR CSE
2. IIT Bhubaneswar CSE ",Retain and Wait,IIT Bhubaneswar CSE,,,,,,Set 2
483,,774,CSE,2026,GEN,NA,NA,NA,NA,NA,NA,NA,Top 7 iits,
493,66,773,CSE,2026,GEN,NA,NA,NA,NA,NA,,,,Set 1
544,,762,CSE,2026,GEN,No offers,NA,,,,,,"I have applied in
IITD MINDS, CTech, Cyber
BHU CSE
IITG CSE, Robotics&AI
IITInd CSE
IITH AI, NIS
IITKgp CS, AI
IITR AI,DS,CSE",
567,,758,CSE,2026,GEN,"IIT Tirupati MTech DSAI
IIT Ropar MTech AI",Reject,,,,,,,
593,,754,CSE,2026,GEN,No offer,NA,,,,,,,
616,64.56,754,CSE,2026,GEN,IIT Ropar MTech CSE,Reject,,,,,,,Set 1
659,63.92,747,CSE,2026,GEN,IIT Ropar MTech. CSE,Retain and Wait,NA,IITI MS CSE,IITI MS CSE,"IIITB MTech CSE
IIITH MTech PDM",IIITB MTech CSE,,Set 1
734,,739,CSE,2026,GEN,,NA,,IIT Indore MS CSE,Retain and wait,,,,
750,,738,CSE,2026,GEN,NA,NA,,,,,,,
819,,730,CSE,2026,GEN,,NA,,,,No,,,
819,62.5,730,CSE,2026,GEN,"1. IISc Earth Science and Engineering 
2. IIT Patna MNC",Retain and Wait,IIT Patna MNC,,,,,,Set 2
840,,728,CSE,2026,GEN,No offers,NA,,No offers,N/A,No offers,,"Bits pilani, cse pilani campus",
929,,720,CSE,2026,GEN,IIT JAMMU CSE,Retain and Wait,Iit jammu cse,,,,,,
972,,716,CSE,2026,GEN,,NA,,,,,,,
1039,60.66,710,CSE,2026,GEN,,NA,,,,,,,Set 2
1061,60.65,708,CSE,2026,GEN,IISC Mtech quantum technology,Accept and Freeze,IISC mtech quantum technology,,,None,,,Set 1
1061,60.65,708,CSE,2026,GEN,NA,NA,,,,"IIIT Hyd MTech CS
IIIT Blr MTech CS
BITS Hyd ME CS",,,Set 1
1081,60.43,706,CSE,2026,GEN,IIT Dharwad MTech CSE,Retain and Wait,IIT Dharwad MTech CSE,NA,NA,,,,Set 2
1765,56.63,661,CSE,2026,GEN,None,NA,N/A,none,N/A,IIIT Bangalore M.Tech Cse,IIIT bangalore Retain,"mandi CSE
 patna AI
bbs CSE
tirupati CSE /AI",Set 2
2040,,645,CSE,2026,GEN,"IIT ISM Dhanbad Geomatics
IIT BHU Varanasi System Engineering",Retain and Wait,IIT ISM Dhanbad Geomatics,,,,,,
2763,,613,CSE,2026,GEN,IIT Ropar - autonomous systems and drone technology,Retain and Wait,iit ropar - drone tech,,,,,,
3076,,602,CSE,2026,GEN,,NA,,,,,,,
3124,,601,CSE,2026,GEN,No offers,NA,,,,,,,
10341,39.8,465,CSE,2026,GEN,"IIT BHU MTech Decision Science & Engineering (thru written+interview)
IIT BHU MTech Ceramic Engineering ",Accept and Freeze,IIT BHU MTech Decision Science & Engineering,,,,,,Set 1
58,78.38,916,CSE,2026,GEN,"IIT Bombay MTech CS (TA)
IIT Madras MTech CS",Accept and Freeze,IIT Bombay MTech CS (TA),,,"IIT Bombay MTech CS (TA)
IIT Madras MTech CS",,,Set 2
70,77.34,904,CSE,2026,GEN,IIT Bombay MTech CS (TA),Retain and Wait,IIT Bombay MTech CS (TA),,,IITK MTech CS,IIT Bombay MTech CS (TA) - Retain and Wait,IIT Madras CS (HTTA),Set 2
77,77,900,CSE,2026,GEN,"IITB MTech TA
IITH TA (retained from last round)",Retain and Wait,IIT Bombay MTech CS (TA),,,,,,Set 2
77,77,900,CSE,2026,GEN,IIT Bombay MTech CS (TA),Retain and Wait,IIT Bombay MTech CS (TA),,,,,IISc,Set 2
85,74,899,CSE,2026,GEN,"IIT Bombay
IIT Hyderabad 
IIT Kanpur(Retained)",Retain and Wait,IIT Bombay MTech CS (TA),,,,,,Set 1
85,76,899,CSE,2026,GEN,"IITB TA CSE, IITK TA CSE",Retain and Wait,IITB TA CSE,,,,,,Set 1
92,76.31,892,CSE,2026,GEN,IITK MTech CS (Retained from R1),Retain and Wait,IITK MTech CS,,,,,,Set 2
103,75.63,884,CSE,2026,GEN,"IIT Kanpur MTech CSE
IIT Kharagpur MTech CSE",Retain and Wait,IIT Kanpur MTech CSE,,,,,,Set 1
105,75.62,884,CSE,2026,GEN,IIT Kanpur M. Tech CS,Retain and Wait,IIT Kanpur M. Tech CS,,,,,,Set 2
113,75.31,880,CSE,2026,GEN,"Computer Science and Engineering - IIT Kanpur

Computer Science and Engineering - IIT Kharagpur",Accept and Freeze,IIT Kharagpur MTech CS(TA),,,,,,Set 1
118,75.27,879,CSE,2026,GEN,"IIT Kanpur MTech CS (TA)
IIT KGP MTech CS (TA) (Retained from round 1)",Retain and Wait,IIT Kanpur MTech CS (TA),NA,NA,NA,NA,"IIT Bombay MTech CS (TA)
IIT Hyderabad MTech CS (TA)
IIT Madras MTech CS (TA)
IISC MTech CSA",Set 2
119,74.98,876,CSE,2026,GEN,MTech CSE IIT Kanpur,Retain and Wait,NA,NA,NA,NO,IIT Kanpur MTech CSE - Retain and Wait,"MTech CSE IIT B, M, D
IISC MTech CSE, CDS",Set 1
137,74.33,868,CSE,2026,GEN,"IIT KGP-CSE(TA)
IIT R-CSE(TA)
IIT G(retain and wait from round1)-cse(TA)",Retain and Wait,IIT KGP,,,,,,Set 1
139,74.23,867,CSE,2026,GEN,IIT Kharagpur MTech CS(TA),Retain and Wait,IIT Kharagpur MTech CS(TA),,,,IIT Kharagpur MTech CS(TA) - Retain and Wait,,Set 2
143,74,865,CSE,2026,GEN,IIT ROORKEE MTECH CS,Retain and Wait,IIT ROORKEE MTECH CS,,,,,,Set 1
153,,861,CSE,2026,GEN,IIT Kharagpur MTech CS,Retain and Wait,IIT Kgp MTech CS,,,,,"IISc MTech CSA
IISc MTech CDS
IIT Bombay MTech CS TA
IIT Kanpur MTech CS
IIT Hyderabad MTech CS
",Set 1
160,73.54,859,CSE,2026,GEN,"IITKGP CS, IITG CS (Retained from R1)",Retain and Wait,IITKGP CS,,,,,"IITB CS, IITM CS, IISc CSA, IITK CS, IITH CS, IITH AI",Set 2
166,73.35,857,CSE,2026,GEN,"IIT Guwahati MTech CSE
IIT Kharagpur MTech CSE
IIT Bombay MTech IEOR",Retain and Wait,IIT Kharagpur MTech CSE,,,,,,Set 1
174,73.2,855,CSE,2026,GEN,"IITD CIS (Retained from R1) , IITKgp CS",Retain and Wait,IIT Kgp CS,NA,NA,NA,NA,"CS at IISc, IITB,M,D,K",Set 2
179,73.03,853,CSE,2026,GEN,IIT KGP MTech CS (TA),Retain and Wait,IIT KGP MTech CS (TA),NA,NA,NA,NA,"IITK MTech CS (TA)
IITD MTech CS (TA)",Set 1
179,73.03,853,CSE,2026,GEN,,Retain and Wait,IIT Kharagpur CS (TA),,,"IIT Guwahati CS (TA)
IIT Roorkee CS (TA)
IIT Kharagpur CS (TA)",,,Set 1
184,72.85,851,CSE,2026,GEN,"IIT Kharagpur MTech CSE
IIT Guwahati MTech CSE
IIT Roorkee MTech CSE",Retain and Wait,IIT Kharagpur MTech CSE,,,,,,Set 2
208,72.05,842,CSE,2026,GEN,Iit G mtech cs TA,Retain and Wait,iit g cs retain and wait,Iit hyd nis,Reject,,,,Set 1
208,72.02,842,CSE,2026,GEN,"IIT G CSE, IIT G DS, IIT Roorkee CS",Retain and Wait,IIT G CS,,,,,"IIT H, IIT M, IIT K, IIT KGP",Set 1
212,,839,CSE,2026,GEN,IIT Guwahati MTech CSE,Retain and Wait,IIT Guwahati MTech CSE,,,,,,
227,71.4,834,CSE,2026,GEN,IIT Guwahatti MTech TA,Retain and Wait,IIT Guwahatti MTech CS TA,,,None,,,Set 1
227,71.Something,834,CSE,2026,GEN,,Retain and Wait,IIT G,,,,,,Set 1
235,71.13,831,CSE,2026,GEN,NA,NA,Na,Na,Na,Na,Na,All top 7 iit,Set 2
235,71.13,831,CSE,2026,GEN,Na,NA,Na,Na,Na,Na,Na,"Iit b ta ( in ews)
Iit kanpur ta ( in ews)
Iit hyd,roorkee, guwahati, kharagpur all mtech cs ta",Set 2
256,,827,CSE,2026,GEN,IIT Roorkee MTech AI,Retain and Wait,IIT Roorkee MTech AI,,,,,,
296,,815,CSE,2026,GEN,"IIT Hyderabad NIS
IIT Guwahati R&AI
IIT Patna CSE (Retained from R1)
IIT Indore CSE",Retain and Wait,IIT Hyderabad NIS,,,,,,Set 1
296,69.09,815,CSE,2026,GEN,IIT Indore MTech CSE (TA),Retain and Wait,IIT Indore MTech CSE (TA),,,,,,Set 1
275,70.42,813,CSE,2026,GEN,NA,NA,NA,NA,NA,NA,NA,"IITK, IITKGP, IITG, IITH, IISC CDS",Set 1
331,69.06,807,CSE,2026,GEN,IIT BHU Mtech CSE AI,Retain and Wait,IIT BHU Mtech CSE AI,,,,IIT BHU Mtech CSE AI - Retain and Wait,,Set 2
342,68.79,804,CSE,2026,GEN,IIT Gandhinagar MTech CSE,Retain and Wait,IIT Gandhinagar MTech CSE,,Retain and wait,,,,Set 1
342,68.79,804,CSE,2026,GEN,IIT BHU MTech AI (retained in prev round),Retain and Wait,IIT BHU MTech AI,,,,,,Set 1
342,68.79,804,CSE,2026,GEN,IIT ISM DHANBAD MTECH CSE,Retain and Wait,IIT IS DHANABD MTECH CSE,NA,NA,NA,NA,"IIT G , K , KGP ,R ,D ,H",Set 1
366,68.37,799,CSE,2026,GEN,"IIT BHU CSE-AI
IIT Gandhinagar CSE
IIT Roorkee applied mathematics and scientific computing ",Retain and Wait,IIT BHU CSE AI,,,,,,Set 2
366,68.37,799,CSE,2026,GEN,"IIT Roorkee M.Tech Applied Mathematics and Scientific Computing
IIT Kharagpur M.Tech Industrial Engineering and Management",Reject,,,,,,,Set 2
381,68.14,796,CSE,2026,GEN,na,NA,,,,,,,Set 1
381,,796,CSE,2026,GEN,IIT Roorkee Applied mathematics and scientific computing,Reject,IISC CDS retained from last round,,,,,,Set 1
444,,781,CSE,2026,GEN,NA,NA,,,,,,,
493,66.19,773,CSE,2026,GEN,IIT Jodhpur CSE,Retain and Wait,IIT JODHPUR CSE,,,NA,,,Set 1
544,65.23,762,CSE,2026,GEN,No offers,NA,,,,,,"I have applied in
IITD MINDS, CTech, Cyber
BHU CSE
IITG CSE, Robotics&AI
IITInd CSE
IITH AI, NIS
IITKgp CS, AI
IITR AI,DS,CSE",Set 2
567,64.91,758,CSE,2026,GEN,IIT Patna AI,Reject,,,,IIIT Hyderabad MTech CS,Accept,,Set 2
616,64.56,754,CSE,2026,GEN,-,NA,Na,Iit indore  cs MS,Retain and wait,,,"IIT HYD MTECH CS (RA)
IIT B MS , MTECH RA , MS RAP
IISC MTECH RA 
",Set 1
750,63.19,738,CSE,2026,GEN,Nope,NA,,Nope,,,,,Set 2
819,62.5,730,CSE,2026,GEN,"IIT Ropar CSE
IIT  Jammu CSE",Retain and Wait,IIT Ropar CSE,,,,,,Set 2
819,62.5,730,CSE,2026,GEN,"IIT Ropar CSE
IIT Kanpur AI for Sustainability ",Retain and Wait,IIT Ropar CSE,,,,,,Set 2
1039,60.67,710,CSE,2026,GEN,"IIT Tirupati Data Science and Artificial Intelligence  
IIT Goa Computer Science and Engineering",Retain and Wait,IIT Tirupati Data Science and Artificial Intelligence,,,,,,Set 2
1039,60.77,710,CSE,2026,GEN,No offer received,NA,-,-,-,-,-,-,Set 2
1337,58.7,686,CSE,2026,GEN,IIT DHARWAD Mtech CS(TA),Retain and Wait,IIT DHARWAD Mtech CS(TA),,,,,,Set 2
1765,56.63,661,CSE,2026,GEN,none,NA,none,none,n/a,iiit Bangalore MTech Cs,IIIT bangalore Retain,"mandi CSE
 patna AI
bbs CSE
tirupati CSE /AI",Set 2
2040,55.25,645,CSE,2026,GEN,"IIT ISM DHanbad Geomatics
IIT Kharagpur Quality and Reliability Engineering",Retain and Wait,IIT Kharagpur Quality and Reliability Engineering,,,,,,Set 2
2763,52.5,613,CSE,2026,GEN,IIT Ropar Drone tech,Retain and Wait,IIT Ropar drone tech,,,,,,Set 1
3656,49.9,583,CSE,2026,GEN,No Offers Received,NA,,,,,,,Set 1
126,74.33,872,CSE,2026,GEN,IIT Delhi CT,Retain and Wait,IIT Delhi CT,,,,,,
67,77.69,908,CSE,2026,GEN,IIT Bombay MTech CS (TA),Retain and Wait,IIT Bombay MTech CS (TA),,,,,"IISc MTech  CS
IIT Madras MTech CS (HTTA)
",
8959,41.1,480,CSE,2026,GEN,IIT Bhilai MTech (HTTA) Power systems and power electronics,Retain and Wait,IIT Bhilai MTech (HTTA) Power systems and power electronics,,,"27 shortlists across multiple iits, but many are msr offers.",,,
221,71.47,835,CSE,2026,GEN,"IISc - Computational and Data Science (Retained from round 1)
IIT Guwahati - MTech CSE
IIT Guwahati - MTech Robotics and AI",Accept and Freeze,IISc - Computational and Data Science,,,,,,
85,76.94,899,CSE,2026,GEN,"IISc CDS(Retained from R1)
IIT Bombay CS(TA)",Retain and Wait,IISc CDS,,,,,"IISc CSA
IIT Madras CS
IIT B CS(RA)",
